scan,cluster
SPRING4558,C5
SPRING4559,C4
SPRING4560,C6
SPRING4561,C6
SPRING4562,C7
SPRING4565,C5
SPRING4568,C3
SPRING4570,C8
SPRING4571,C8
SPRING4572,C7
SPRING4573,C8
SPRING4574,C7
SPRING4576,C5
SPRING4579,C8
SPRING4580,C6
SPRING4583,C8
SPRING4584,C8
SPRING4585,C7
SPRING4586,C5
SPRING4589,C7
SPRING4590,C4
SPRING4591,C7
SPRING4593,C4
SPRING4594,C5
SPRING4596,C8
SPRING4597,C8
SPRING4599,C6
SPRING4600,C6
SPRING4602,C5
SPRING4603,C7
SPRING4609,C8
SPRING4611,C4
SPRING4616,C8
SPRING4620,C4
SPRING4621,C8
SPRING4623,C8
SPRING4625,C4
SPRING4627,C7
SPRING4629,C8
SPRING4631,C5
SPRING4632,C8
SPRING4633,C8
SPRING4634,C7
SPRING4637,C6
SPRING4638,C7
SPRING4639,C8
SPRING4640,C5
SPRING4641,C8
SPRING4642,C7
SPRING4644,C8
SPRING4648,C6
SPRING4649,C5
SPRING4650,C7
SPRING4651,C6
SPRING4652,C7
SPRING4653,C8
SPRING4657,C5
SPRING4658,C6
SPRING4661,C8
SPRING4667,C5
SPRING4669,C6
SPRING4675,C7
SPRING4676,C8
SPRING4677,C6
SPRING4678,C8
SPRING4681,C3
SPRING4682,C6
SPRING4683,C6
SPRING4687,C6
SPRING4688,C6
SPRING4689,C4
SPRING4690,C4
SPRING4692,C4
SPRING4697,C6
SPRING4698,C8
SPRING4700,C8
SPRING4701,C8
SPRING4706,C8
SPRING4714,C7
SPRING4716,C6
SPRING4721,C6
SPRING4722,C8
SPRING4724,C6
SPRING4725,C4
SPRING4728,C5
SPRING4729,C8
SPRING4730,C5
SPRING4731,C6
SPRING4734,C6
SPRING4735,C8
SPRING4736,C4
SPRING4738,C6
SPRING4739,C6
SPRING4741,C7
SPRING4743,C8
SPRING4749,C5
SPRING4752,C8
SPRING4754,C4
SPRING4755,C6
SPRING4762,C4
SPRING4765,C4
SPRING4767,C5
SPRING4768,C6
SPRING4769,C4
SPRING4775,C4
SPRING4778,C8
SPRING4780,C8
SPRING4785,C8
SPRING4788,C5
SPRING4792,C6
SPRING4795,C7
SPRING4797,C8
SPRING4799,C8
SPRING4800,C6
